id,name,ml_target,bio
8260,alakra,0,"Integer friendly, not like those float types."
8261,a1600012888,1,"first-year phd student at MIT, EECS"
8262,jason90929,0,"2 years in Golang, Terraform, AWS, Automatic testing
6 years in JavaScript, CSS, HTML"
8263,Baoyx007,0,make better world by coding
8264,cassianogf,0,building impactful softwares since 2007
8265,nlpenguin,1,Bio not available
8266,evanhammer,0,"I love helping startups reach product-market fit faster. Cofounded: Smart Host (@techstars, acquired by @beyondpricing). Past: @focusmate, @vimeo, @codecademy."
8267,hu2di,1,"Log.d(“[#Prgrm][#Eqnmt][#Frd..]”);
while(1) { exe(“sT && gATW”); }"
8268,pladaria,0,Bio not available
8269,DBULL7,0,"Former entrepreneur who was bitten by the coding bug. Now Software Developer who loves Javascript, Golang, and learning new things everyday. "
8270,barinbritva,0,"Live, seek, create."
8271,rjgu,1,Majoring CS.
8272,OdNairy,0,iOS Engineer since 2011
8273,qixuxiang,0,"CV, DNN, Robotics and Autopilot."
8274,aystlzh,0,iOSer
8275,hetz,0,Rock your code  摇滚你的代码。
8276,3riccc,0,keep ganking
8277,joeldrapper,0,"Author and maintainer of Phlex, Literal, Quickdraw — cohost Rooftop Ruby."
8278,sajjad-shirazy,0,Bio not available
8279,denkensk,1,Hope to do something cool to help more people / sig-scheduling
8280,codenaz,0,"Software Developer
"
8281,emansom,0,Seasoned Site Reliability Engineer with expertise in Linux cloud/on-premise systems. Adept at keeping web services running during peak load.
8282,dotneet,0,"Fullstack Web/Mobile App Developer.

#Scala #React #Vue #Nuxt #Rails #Docker #AWS"
8283,dawnarc,0,清水混凝土浇筑专家
8284,danopia,0,"Site Reliability, cloud architecture, reactive application design, etc"
8285,davetoxa,0,"Travel 🌴 Develop 💻 Business 🙌🏻

#ruby #rails #go #react #aws"
8286,Risez25,0,"Mobile Hybrid App and Full stack php developer using yii, focused on #mobileangularui #maui #angular #ionic2 #javascript #jquery"
8287,MriLiuJY,0,"Sometimes it’s the very people who no one imagines
anything of who do the things no one can imagine."
8288,acauamontiel,0,CTO at engaged.com.br
8289,AnmolTomer,0,"👨🏻‍💻 Interested in: 💻 Backend Engineering, System Design, 🧠 Competitive Programming,  📊 Machine Learning"
8290,eventEmitter,0,Bio not available
8291,christ0089,1,Developing new applications for a brighter future.
8292,kolier,0,"E = mc2
-> @XL19860214"
8293,hlmerscher,0,Bio not available
8294,djin31,1,Bio not available
8295,raghav-kukreti,0,Bio not available
8296,stephy,0,Computer Scientist graduated from UCLA.
8297,ariabid,0,Full stack PHP Developer. Space enthusiast. Fan of friends.
8298,alykhank,0,Software Engineering Manager @Apple. @uWaterloo Software Engineering graduate.
8299,iebb,0,@bep0920's
8300,StephenMayeux,0,"Senior Software Engineer. Node.js, PHP, Python, C++, JavaScript, React, React Native"
8301,calebsylvest,0,Principal at Matter UX 👉 https://matterux.com/
8302,jtcramer,1,Bio not available
8303,neiker,0,Frontend Engineer (web & mobile)
8304,kimwnasptd,1,"Working on @kubeflow Notebooks and Manifests WGs.
Nice to meet you!"
8305,claudiosegala,1,I like to understand how stuff works and be able to explain them well.
8306,claudey,0,"Engineer, Designer, Builder"
8307,Nek-,0,AFSY - Symfony - SwagIndustries
8308,gongxijun,0,迎风而行.
8309,s3w47m88,0,https://www.linkedin.com/in/spencerdennishill
8310,neuqzxy,0,Share & Open Source
8311,riyazbhat,1,Researcher at IBM IRL
8312,BruceWeng,0,Software Engineer
8313,fredpolicarpo,1,Software Engineer working at ADDI | JVM | DDD | Project Reactor | Vert.X | Event Driven | Kafka | API | Microservices
8314,sevaho,0,CIO & co-founder @ WeGroup
8315,rtamizh,0,Lead Platform Engineer
8316,susiwen8,0," In case you didn't notice, I love trekking, also I'm a KOP"
8317,nWidart,0,Freelance developer & consultant. Laravel specialist. Spring fan. React and Vue user. Open-source advocate. New technologies geek. Apple fan. @AsgardCms creator
8318,shashankmehta,0,"Product, Tech, Marketing, Content, Dishes, Sweeping, Dusting.... at @Razorpay. "
8319,GuruCharan94,1,"Dev, Ops, and everything in between"
8320,sergiy,0,"Sergiy creates simple and useful software tools for accountants, bookkeepers and everyone else using accounting and personal finance software."
8321,sijanonly,1,Data Scientist | 5+ years of experience in Software engineering | Python | ML
8322,hookex,0,Not everything is in place to make this as easy as it should be.
8323,LiXizhi,0,I work at @tatfook on @NPLPackages. I am the creator of NPL and paracraft.
8324,mbrostami,0,Developer
8325,simareeno,0,Code&design
8326,SirPhemmiey,0,"Web | Blockchain | Cloud DevOps |
Committed to making folks continually be in awe of technology."
8327,explooosion,0,Good design is as little design as possible.
8328,bacongobbler,0,Founding Engineer at Fermyon Technologies. Flamboyantly Canadian.
8329,SauceCat,1,I spend time missing the future.
8330,Zemke,0,Bio not available
8331,tanmay7270,1,Bio not available
8332,evancohen,0,Automating all the things.
8333,davetheflashguy,0,I am good at the internet.
8334,Xinguang,0,I can't change the world but i can change the world in me.
8335,Hoijof,0,Code.
8336,bgamari,1,"I enjoy compilers, hiking, and bicycling"
8337,javve,0,"Co-founder Confetti, Nordic.js and Nordic.design. Co-organizer Sthlm.js"
8338,anupjha,0,"Tech guy
"
8339,guumeyer,0,Bio not available
8340,matheuscas,0,"Passionate father, a truly researcher and enthusiastic software developer. I am building web services, mobile apps and a life for my son."
8341,prigoyal,1,Founding Member at Stealth Startup. ex-Google Deepmind. ex-Facebook AI Research
8342,punkstar,0,Bio not available
8343,isdaniel,0,"Energetic, adaptable Software Engineer with over 5 years in ASP.Net. passionate about creating and developing OOP，AOP program architecture"
8344,juneoh,1,ML & Cloud
8345,ennerperez,0,Desktop + Web + Mobile
8346,thomasknoll,0,"I get to help people grow into their ideas. What is your vision? If I can help, I will bring everything I can access to your table."
8347,gatero,0,"Hello, I'm a full stack developer from México. 🇲🇽

I like bash, docker, golang, mongo, js and css 🍻 "
8348,breningham,1,"Full Stack Developer Working with Angular, Nativescript, React, NextJS, Node.js, Typescript and others. "
8349,HaoDaWang,0,Bio not available
8350,mbuchetics,0,"iOS Developer @allaboutapps in Vienna, Austria"
8351,clucasalcantara,0,"Mobile | Software Engineer, AI, IoT, React, Mobile, Blockchain, JavaScript ❤️

"
8352,plusreed,0,22 year old web/database developer.
8353,heregoes,0,Technologist
8354,codebryo,0,"Always learning! -- VP Engineering @ Tset.com | Previous @codesandbox @gitlab @cloudbees @codeship
"
8355,rodolfojt,1,Machine Learning Engineer | MLOps
8356,chaiyujin,1,"Looking for a job!
Speech-driven facial animation.
3D facial reconstruction (3DMM)."
8357,anishathalye,1,@mit-pdos /\ @cleanlab
8358,cristianferrarig,0,"Me encanta ayudar a la gente a construir cosas increíbles.
I love help people to build awesome things. ⚡"
8359,quaddy,0,Bio not available
8360,killme2008,0,"To be a good man.

CEO & Co-Founder@greptime.com"
8361,dulei0508,1,jump
8362,ampatspell,0,"Ember.js & Firebase. Writing apps, addons, tutoring. Also street photography."
8363,sewardlee337,1,Data scientist and open source enthusiast.
8364,bearloga,1,DataSci Mgr | Data Scientist
8365,fabianp,1,"I'm a research scientist at @google-deepmind , working in optimization and machine learning"
8366,XueLianjie,1,"Autonomous Driving, Robotics,
Visual SLAM, VIO,
Mapping and localization"
8367,BoyuanYan,1,All The Way South
8368,oskarflygare,1,Postdoctoral Researcher at Karolinska Institutet.
8369,jasonleewilson,0,"Integrity, dignity, respect, passion, courage, and endurance.

peace.love.unity.respect.

~WILSON"
8370,Awilum,0,"Digital Nomad.
Software Engineer.
Mentor. E-Learning Instructor."
8371,brunocramos,0,Sr. Staff Engineer @facebook
8372,diepdao,1,Bio not available
8373,KeyHui,0,Developer
8374,ravirajthedeveloper,0,Bio not available
8375,shaohung001,0,Bio not available
8376,forddavis,1,Bio not available
8377,DLavin23,0,"Product Manager with a passion for design, code, and user experience."
8378,jmltn,0,Bio not available
8379,jfbaquerocelis,0,"I :heart: Javascript.
Organizer at @MonteriaJS.

the teamwork is better, much better :100: "
8380,rodgarcialima,0,"GO, React, NodeJS, Spring, C#, PostgreSQL, Redis, RabbitMQ"
8381,nguyenkhacbaoanh,1,Data Engineer & Scala/Python developer at Societe Generale
8382,banjuanshu,1,除非你做点儿什么，否则任何事情都不会改变
8383,bynelus,0,Loves to code; especially in Swift. Some day I will look back at a very nice time in my progbunker!! 🔥
8384,EvanOman,1,Software Developer and Philomath
8385,edwerd,0,Bio not available
8386,chivee,1,Bio not available
8387,spiros,1,Using data & cookies to improve human health; Professor Biomedical Informatics @UCL; Phenomics @BHFDSC
8388,Fallenstedt,0,I am a Senior Software Engineer at @newrelic. You can usually find me gardening or riding a bike.
8389,mrabbani,0,Passionate Software Developer
8390,diegonvs,0,Bio not available
8391,tcye,1,focus
8392,onnimonni,0,Bio not available
8393,arteymix,0,Bioinformatics Programmer/Analyst at @PavlidisLab
8394,fanzeyi,0,🍙 🏳️‍🌈 · Rustacean
8395,danielspofford,0,Developer of things.
8396,dweinstein,0,making dreams a reality
8397,chchwy,0,"Lead developer of @pencil2d
"
8398,bernatferragut,0,Web3|Research|Education
8399,forslund,1,"A happy geeky swede. Software developer at Leine Linde during day, board game designer at night."
8400,coffeeboo,0,Bio not available
8401,PrabhatCS,1,"Data Scientist | Machine Learning Engineer
{PG Diploma in Big Data Analytics}"
8402,andyforever,0,Saw what you believe.因为相信而看见。
8403,siazeroli,1,Bio not available
8404,jvtrudel,0,Bio not available
8405,rbavery,1,Bio not available
8406,carlogilmar,0,I'm a very green programmer. ☘️
8407,leog,0,"Software Engineer. Lost @standards promoter. Real @fluidemocracy supporter.

"
8408,pizuricv,1,CTO and co-founder @waylayio
8409,minhajuddin,0,"Passionate programmer with a focus on building robust applications with simple interfaces. I love writing code and I'm currently experimenting with Elixir, Rust"
8410,santoshyadav198613,0,Bio not available
8411,TomLous,1,Mostly harmless
8412,IsenrichO,0,Nerd with an Internet connection.
8413,BrandanMiller,0,Tests will save your life!
8414,anandp033,1,Bio not available
8415,shogo82148,1,goroutine concurrency expert
8416,evantahler,0,"Nerd. Future Late Night Talkshow host.  eng @ @airbytehq.

Working on @actionhero, Node-Resque, and more!  Prev @grouparoo @airbus-sv, @taskrabbit @modcloth"
8417,ricardosierra,0,"Blockchain, linux user, art lover."
8418,stevefloyd,0,Blocks ⛓ & Bots 🤖.
8419,Leon-Jin,1,Research in the fields of speaker verification and speech recognition.
8420,carlosrberto,0,JavaScript Developer | Functional Programming Lover | Blockchain Enthusiastic
8421,cr0wst,0,"Steve is a self-proclaimed Mathlete, and King of Snark. He is also a lover of Greyhounds, twisty puzzles, and European Board Games."
8422,HaijunMa,1,Standing On Shoulders of Giants
8423,BideoWego,0,Full-stack developer. I <3 👨‍💻
8424,theneva,0,"""Fullstack"" developer, whatever that means. Mostly React, Node, and Java."
8425,gscho,0,Bio not available
8426,rahacker2006,0,Full Stack developer at Thinkcomm
8427,XiongKezhi,1,Bio not available
8428,jnwelzel,0,Frontend dev into React and more recently Qwik.
8429,ashishnegi,1,"Loves functional programming, concurrency and distributed systems"
8430,daniel-code,1,"Computer Vision, Deep Learning, Image Segmentation, Video Classification"
8431,chaitan94,0,"Feature by feature, building the future."
8432,StanislavMayorov,0,"Front-end developer. Experienced in JavaScript, React, React Native. Bachelor of Computer Science at BSUIR, Minsk."
8433,hskang9,0,🥶
8434,Green-li,1,"stay hungry,stay foolish"
8435,markkasaboski,0,Still wondering how I got this far...
8436,oceanoverflow,1,Bio not available
8437,ruslan-kurchenko,0,"Salesforce Technical Architect from Kyiv, Ukraine. Husband 👫- Worker 👨‍💻 - Mentor 👨‍🏫 - Player ⚽️ - Space dreamer 🌌"
8438,qjuanp,0,💻🔥 software engineer
8439,odoe,0,SoftWhere Engineer at @Esri
8440,RusinovAnton,0,Bio not available
8441,futuremint,0,Experienced Software Engineer
8442,gbabula,0,Lead Software Engineer
8443,guicunha,0,"An in love developer with everything that can change the way of the people work, enjoy and relationship with each other."
8444,endroid,0,"Symfony Certified Senior Software Engineer at Netvlies, transforming the digital landscape with a strong focus on quality, longevity and performance"
8445,ckshitij,1,[Web2 | Web3 ]
8446,Sylvadoc,0,"#Nuxtjs👑 #Vuejs✌️Développeur Frontend dans la vie, Tolkiendil et dévoreur de livres dans la nuit."
8447,oknono,0,"
    Currently in Melbourne
"
8448,VinHuang,0,Bio not available
8449,saccohuo,0,Antenna
8450,csarrazi,0,"Manager, Customer Success Engineering @confluentinc, loves rock-climbing, playing the guitar, Japan, cats and rainbows."
8451,Kavinjsir,0,Infra @rilldata | Dev @kubernetes-sigs  | KubeCon Speaker | GSoC Mentor(e)
8452,davidohlin,0,just the worst
8453,heyimalex,0,HOWDY
8454,marcelomf,0,"I'm interested in computer architecture, programming languages, operations system, compilers, protocols, crypt, history, economy, culture and politics."
8455,ondrae,0,Civic hacker writing software for the social safety net.
8456,superboum,0,Trying to re-decentralize the net at deuxfleurs.fr. Check garagehq.deuxfleurs.fr to discover our secret plan!
8457,sorki,1,"Complexity management, ministry of chaos. I also like cats :black_cat: "
8458,olebedev,0,He doesn't let Canva's bugs bite
8459,DSanzh,1,iOS Developer
8460,malhotraguy,1,"AI and Machine Learning enthusiast, Self Learner- Python Developer,DevOps(Kubernetes,Docker)"
8461,ousamabenyounes,0,"DEVOPS, WEBPERF, AWS, DOCKER, K8S, Tesing, PHP, JS, SHELL, REACT -
No website should go live without being tested with Yellow Lab Tools"
8462,blade-demon,0,"React/Node.js Devloper, AWS CSA"
8463,rakeshcheekatimala,0,Software Engineer who strives for building applications with good design principles.
8464,eddywashere,0,Software Engineer
8465,altruity,0,FE Dev
8466,jingsam,0,@FoxGIS
8467,simonrenoult,0,Developer.
8468,huminghao16,1,Question Answering / Natural Language Understanding
8469,aksell,1,Bioinformatics and software engineering :computer:Glue coder:robot:
8470,CZXBigBrother,0,Talk is cheap. Show me the code. -- Linus Torvalds
8471,jartmez,0,Bio not available
8472,Emanon42,1,"CPDT, CPDT"
8473,scottzirkel,0,Making stuff up since 1977
8474,gulisashvili,0,Frontend Engineer & Entrepreneur
8475,limianhust,0,"I'm a electrical engineer in State Grid in China and want to devote myself to internet industry.I have learn a little bit of c,c++ and python."
8476,bbezanson,0,"Software Architecture, Design & Development, Database Architect, CISSP-CEH. Famous Projects: Adobe Photoshop 1.0, The Oregon Trail, Harley-Davidson Rideplanner."
8477,FourEyebrowXiake,0,Bio not available
8478,gijzelaerr,1,"astro software composer, music brewer, beer programmer, senior system engineer @spotify"
8479,themoonraker13,1,Code Chef and IT Enthusiast
8480,plotor,1,Bio not available
8481,efegurkan,0,"Human @elastic. Previously @Autodesk, @trivago, linovi."
8482,nocoolyoyo,0,fool stack
8483,80000v,0,風仯
8484,ghenry,0,"Lover of #OSS, #Elixir, #C, #Flutter, #API's, #Perl, #Go and #bushcraft Founder of acquired SureVoIP and SentryPeer. CIO at TelcoSwitch. Part of OpenLDAP Team."
8485,schorndorfer,1,"
Software Engineer - Data Science"
8486,andreaazzini,1,⚡
8487,netcan,0,机工社《C++20高级编程》作者
8488,nogsantos,0,"Father, husband, former BJJ black belt, guitarist, and programmer. I'm spending most of my time coding, learning, playing guitar, games, ..."
8489,pvictor,0,R / Shiny developper at @dreamRs with @mfanny
8490,sinanbozkus,0,"Software Development Team Lead @BilgeAdam
http://www.sinanbozkus.com"
8491,XiaoLer,0,"
   Golang, Linux
"
8492,DevAlves1993,0,"I am a Young Padawan and Software developer has the research of unique skills and the new challenges.
I love programmed in Java and Dart and  folk Music."
8493,studioego,0,"LibreOffice,GNU,KDE,GNOME, etc, Korean Open Source Contributor,Translator. My Mother tongue is Korean(한국어)My hobby's Learning Languages(English,漢語/汉语,日本語)"
8494,rlouf,1,Casual inference
8495,ameerthehacker,0,Working on that dent in the universe
8496,pstadler,0,"Not a bot account, unfortunately."
8497,josephdburdick,0,Internet guy with a keen eye on what's fly.
8498,jerry,1,I build things by working with people (and typing).
8499,carlvlewis,0,Public interest technologist / data visualization developer / community innovation organizer.
8500,Makazone,0,"A mobile developer, digital nomad, extreme sports lover. Trying to improve the world by making great products."
8501,aritztg,1,Hi there
8502,pohsu,1,I really enjoy digging into the fundamental principles when solving engineering problems
8503,rajikaimal,0,"Software Engineer
💖 Tooling Infra"
8504,nks5295,0,"Distributed systems engineer passionate about the cloud, Kubernetes, identity and trust, and distributed secure storage/management."
8505,jfoshee,0,"Into game dev & value investing. Working on a persistent-world back-end. Studied computer graphics, physical modeling. Worked in oil & gas, medicine."
8506,imankit,0,Bio not available
8507,Younes-Charfaoui,1,Google Certified Android Developer 📱 Software Engineer and Machine learning Practitioner 👨‍🏫 .
8508,lartpang,1,Simpler and Better.
8509,Tallyb,0,The Dev-X.
8510,jianwolf,1,Natural Language Understanding (NLU) Scientist at LivePerson
8511,BoBinLee,0,Bio not available
8512,JesusGarciaValadez,0,"PHP (Laravel)/JavaScript (Vue.js-React.js-Node.js) Software Engineer.
Python and React Native Rookie."
8513,akunzai,0,"Abiding nowhere, give rise to mind."
8514,jwcn,0,learner
8515,kraaas,0,Bio not available
8516,brunohulk,0,"Software developer, ZCPE, CSM and WordPress Core Contributor
Graduated with a bachelor's degree in Computer Science and post-graduate in Web Engineer."
8517,JPurinsh,0,See you on the flip side.
8518,mamadoo,0,Welcome to my Profile. I am a Front-End Developer
8519,JorgeDeLosSantos,1,"Python, MATLAB, FEA, Robotics, Kinematic analysis, Mechanical Engineering."
8520,jhollist,1,"R, GIS, Lakes, and Open Science at US EPA.

Mastodon: @jhollist@fosstodon.org
"
8521,arttema,0,Co-founder & CTO @ Credentially
8522,asyrique,0,"Technical Co-founder @vase. Building and scaling human systems, with some server taming on the side."
8523,anthonytec2,1,"PhD Student @ UPenn. Interested in signal processing, robotics, optimization, machine learning and computational acceleration."
8524,LAIBOLIN,1,Bio not available
8525,calmrund,0,Bio not available
8526,aayush26,1,Bio not available
8527,gsiou,0,"Software Engineer @ GUNet,


CS @ University of Athens, Department of Informatics and Telecommunications"
8528,SriniVest,0,"Tech Savvy, Developer and everything related to Technology and Operations for a firm which I manage named Vestibulum Technologies , Bangalore , India"
8529,joyoyao,0,Believe in yourself
8530,cihanozhan,0,Founder @ Safebox.ai | Offensive AI Engineer
8531,pomelo-nwu,0,do one thing and do it well
8532,RealXuan,1,"Study on Data Mining，NLP,CTR Prediction and Recommendation.
More info please refer my blog below.ヾ(๑╹◡╹)ﾉ""( • ̀ω•́ )✧"
8533,davegonzalez,0,"code, metal, records, coffee."
8534,juanfernandes,0,Freelance Web Designer
8535,ryan-blunden,0,Bio not available
8536,ptulsyan10,0,Bio not available
8537,lesimoes,0,"Full stackoverflow Developer
"
8538,joseolinda,0,Professor at IFCE - Campus Cedro
8539,GauthierD-,0,"Fullstack Developer @Maki-People
http://about.me/gauthierd
#nodejs #react #GCP #CI #Kubernetes #Vim #Baller4Life "
8540,jharmn,0,"CTO @Stoplightio, former Sr Dir Platform @ExpediaGroup, former CTO @Typeform, @paypal @braintree @uShip. Former TDC & TOC member of @OAI."
8541,greengerong,0,"architect, consultant"
8542,AustineGwa,0, Software Engineer
8543,aby0,1,R&D Engineer(Machine Learning)
8544,mrferos,0,I like building stuff.
8545,leeclemnet,1,Currently prediction @oxbotica
8546,caijw,0,hello world
8547,laojie,0,有志者事竟成  Where there is a will there is a way
8548,RomeuG,0,"Android Developer by day, C Developer by night.
"
8549,thinkphp,0,"Vous ne pourrez jamais traverser l'océan si vous n'avez pas le courage de perdre de vue le rivage
"
8550,anassinator,1,I build problems to solve solutions 🤖
8551,favourori,0,Product leader passionate about developing innovative products.
8552,kalms,0,CPO @ Anthill
8553,merlinJie,0,Android
8554,ae86208,1,CV & ML
8555,Gaku13,0,Hound is my hero.
8556,MayV,1,Information Technology undergrad at NSIT Delhi
8557,dinatih,0,"Web Information System Architect, and code worker.
Ruby, Ruby on Rails, Bootstrap, Github, Heroku"
8558,amywork,1,
8559,ehmorris,0,Designer and front-end developer
8560,mistermjtek,0,Self-taught javascript dev specializing in front-end technologies
8561,demetrio812,0,Italian computer science engineer (15+ years of experience). Founder of an enterprise and mobile software development agency in London.
8562,Ahnyechan,1,Ph.D. Student at Korea University EECS
8563,EricDupertuis,0,Dealing with legacy code so you don't have to
8564,jlozano254,0,"Code artisan, love Laravel, Vue.js, competitive programming."
8565,EvertonMelo,0,Bio not available
8566,indexofire,0,Just Do IT
8567,dgwight,0,Bio not available
8568,FeMaffezzolli,1,"FullStack Web & Mobile Software Developer. I also like DevOps, Data Science, Data Visualization, Robotics, Rocket Engineering and more."
8569,tilaprimera,1,Bio not available
8570,riywo,0,"Software Engineer. All posts are my own, not endorsed by any org."
8571,alexvbush,0,"Author of The iOS Interviews Guide http://iosinterviewguide.com/
Polyglot developer. Focusing on iOS, Rails. Big on FRP, Rx, SOLID and clean architecture."
8572,sky15179,1,A particular fine spring came around
8573,cheen,0,Bio not available
8574,HMBSbige,1,I am a 24-year-old student.
8575,ShuaiChenBIGR,1,"PhD Student in Erasmus MC, Medical Image Analysis"
8576,pakastin,0,"Web architect and partner at iDiD digital signage. Founder and CEO of @Aviamaps. Creator of RE:DOM, Avain.app and Deck.of.Cards."
8577,gregdhill,1,Software Engineer @interlay
8578,pateketrueke,0,I'm a passionate webdev aspiring to be a good software developer.
8579,subversivo58,0,"Curious, passionate about programming, worshiper of front-end and back-end.

I like creating web-apps of one-page, micro-systems in PHP, Javascript and CSS!"
8580,ApolloZhu,0,"they/any | @wwdc 17,18,21 | @uw-edu CSE’22,23 | @campus-experts alumni"
8581,certik,0,The original author of the @sympy and @symengine libraries and the @lfortran and LPython (@lcompilers) compilers. Co-founder of the @fortran-lang organization
8582,lu1s,0,cto @luckynetworking
8583,PabloAlexandre,0,"Hi, I'm Pablo Alexandre. I like to see code as a solution to a problem, so I prefer to think first in the problem, and after in the solution. "
8584,fobidlim,0,Android Developer
8585,condef5,0,Discipline equals Freedom.
8586,RuiChen96,1,Computer Vision
8587,lzl124631x,0,"Full stack engineer. Working at Meta Seattle.
👽 LEARNING NEVER ENDS.
- 柳正来"
8588,BladeYoung,0,just coding
8589,stc,1,"Coding, Algorithmic Art, Workshops"
8590,srtfisher,0,Principal Software Architect at @alleyinteractive
8591,pytlesk4,0,"Coder, entrepreneur, techstars alum "
8592,Masavi,0,Bio not available
8593,SupaHam,0,"Full stack. Jetbrains, best brains."
8594,aikuyun,0,I have a long way to go.
8595,hg-pyun,0,The best moment has not coming yet.
8596,izzydoesit,0,In code we trust
8597,cmmaster,0,Bio not available
8598,acpmasquerade,0,"Software Engepreneur, Fintech, Digital Payments"
8599,kaanekinci,0,@kaanekinci
8600,schliffen,1,"Software engineer in the domain of artificial intelligence, computer vision and optimization "
8601,gboston,0,☁️ Architect @ In The Pocket
8602,abougouffa,0,"PhD Consulting Engineer, mainly working on Robotics, AI, Embedded and Distributed Systems"
8603,prankshaw,1,"β Level @MicrosoftStudentPartners | @nasa Space Apps Challenge Winner | @harvard X Community TA.
Computer Science Engineer💻; Loves to code🐱‍💻; Write a bit🖋"
8604,jaonoctus,0,PGP 0x782C165A293D6E18
8605,jqr,0,Up to 3x better than previous versions.
8606,X-Nicolo,1,文艺工科狗/编码艺术家
8607,maxujie,1,Bio not available
8608,develician,0,migrated my github to https://github.com/yungblud
8609,Shraddha2702,1,Bio not available
8610,missingfaktor,0,Bio not available
8611,Qard,0,"@nodejs core contributor, founded tracing (now diagnostics) working group. I hack on compilers and VMs."
8612,andrew-boyd,0,Founder @formkit. Founder @wearebraid. I build beautiful things for the web.
8613,soareschen,0,@maybevoid ∘ @informalsystems ∘ Haskell ∘ Rust ∘ Functional Programming ∘ Programming Language Theory
8614,beesandtrees,0,I like ice cream and pizza.
8615,handworker,1,Bio not available
8616,michaeimm,0,"
    Android/PHP developer
"
8617,Hitomis,1,"Dream is what makes you happy,even when you are just trying"
8618,leandro,0,"software engineer @ lawmatics --
founder @ abre.ai"
8619,LiMeng95,1,"M.E., Department of Automation
Human Pose Estimation"
8620,ricky-wong,0,Bio not available
8621,sven1977,1,Team lead Reinforcement Learning (RLlib) @ Anyscale.
8622,ilgooz,0,Bio not available
8623,thelastinuit,0,a program writer
8624,aexol,0,"Author of stuff -
@graphql-editor
Generics Expert.
CEO of aexol.com
"
8625,slashhuang,0,program for fun
8626,shidephen,0,MIR/DAFX
8627,Abdelrahman-Atia,0,undefined
8628,andion,0,"📍  Galician Software Developer
🐶   Beagle Friend
🚲  Bike lover
🍺   Beer enthusiast
🌍   Mad traveler
🏄  Surfer wannabe"
8629,Raiondesu,0,C++ -> C# -> Java -> C++ -> JS -> TS
8630,francisoliverlee,0,"programming is not a way to problems, but way to think"
